,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled,Registrations Cancelled
Status Reason,Deceased,Deceased,Deceased,Deceased,Deceased,Duplicate,Duplicate,Duplicate,Duplicate,Error,Error,Felon,Felon,Felon,Felon,Felon,Moved Out of State,Moved Out of State,Moved Out of State,Moved Out of State,No Activity For 2 General Election Cycles,No Activity For 2 General Election Cycles,No Activity For 2 General Election Cycles,No Activity For 2 General Election Cycles,No Activity For 2 General Election Cycles,No Activity For 2 General Election Cycles,Deceased,Duplicate,Moved Out of County,Hearing,Hearing,Voter Requested,Voter Requested,Error,Error,Duplicate,Hearing,No Activity For 2 General Election Cycles,Not Verified,Not Verified,Voter Requested,Deceased,Duplicate,Error,Error,Felon,Hearing,Hearing,Hearing,Moved Out of State,Felon,Mentally Incompetent,Moved Out of State,Not Verified,Moved Out of County,Not Verified,Not Verified,Moved Out of County,Not Verified,Moved Out of County,Moved Out of State,Voter Requested,Voter Requested,Voter Requested,Mentally Incompetent,Moved Out of County,Moved Out of County,Moved Out of County,Voter Requested,Mentally Incompetent,Mentally Incompetent,Not Verified,Hearing
Race,Asian or Pacific Islander,Black not of Hispanic Origin,Other,Unknown,White not of Hispanic Origin,Black not of Hispanic Origin,Hispanic,Unknown,White not of Hispanic Origin,Black not of Hispanic Origin,White not of Hispanic Origin,Black not of Hispanic Origin,Hispanic,Other,Unknown,White not of Hispanic Origin,Asian or Pacific Islander,Black not of Hispanic Origin,Unknown,White not of Hispanic Origin,Asian or Pacific Islander,Black not of Hispanic Origin,Hispanic,Other,Unknown,White not of Hispanic Origin,Hispanic,American Indian or Alaskan Native,White not of Hispanic Origin,Black not of Hispanic Origin,White not of Hispanic Origin,Unknown,White not of Hispanic Origin,Other,Unknown,Other,Unknown,American Indian or Alaskan Native,Black not of Hispanic Origin,White not of Hispanic Origin,Black not of Hispanic Origin,American Indian or Alaskan Native,Asian or Pacific Islander,Asian or Pacific Islander,Hispanic,Asian or Pacific Islander,Asian or Pacific Islander,Hispanic,Other,Hispanic,American Indian or Alaskan Native,White not of Hispanic Origin,Other,Hispanic,Black not of Hispanic Origin,American Indian or Alaskan Native,Unknown,Unknown,Other,Hispanic,American Indian or Alaskan Native,Asian or Pacific Islander,Hispanic,Other,Black not of Hispanic Origin,American Indian or Alaskan Native,Asian or Pacific Islander,Other,American Indian or Alaskan Native,Unknown,Other,Asian or Pacific Islander,American Indian or Alaskan Native
County Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPLING,1.0,49.0,1.0,6.0,155.0,22.0,5.0,34.0,76.0,1.0,1.0,21.0,1.0,1.0,7.0,45.0,1.0,3.0,2.0,14.0,4.0,203.0,22.0,9.0,18.0,577.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATKINSON,,19.0,,,97.0,33.0,9.0,26.0,58.0,,,7.0,,,5.0,13.0,,1.0,,2.0,,42.0,17.0,,,210.0,1.0,3.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BACON,,20.0,1.0,7.0,120.0,11.0,,10.0,41.0,,,7.0,,,3.0,20.0,,3.0,2.0,11.0,1.0,82.0,8.0,1.0,10.0,314.0,,,,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAKER,,28.0,,3.0,22.0,14.0,,8.0,24.0,2.0,1.0,4.0,,,1.0,5.0,,,,1.0,1.0,21.0,1.0,1.0,,8.0,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALDWIN,,168.0,1.0,7.0,310.0,34.0,,25.0,40.0,,1.0,12.0,,1.0,1.0,11.0,1.0,3.0,2.0,16.0,12.0,566.0,17.0,20.0,61.0,1072.0,,,,2.0,,,1.0,,,1.0,1.0,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANKS,,6.0,,4.0,158.0,1.0,1.0,4.0,44.0,,,,,,,6.0,,,,4.0,10.0,19.0,25.0,2.0,27.0,684.0,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARROW,7.0,62.0,2.0,38.0,491.0,15.0,7.0,30.0,72.0,2.0,1.0,46.0,3.0,,26.0,152.0,1.0,6.0,16.0,102.0,159.0,438.0,168.0,40.0,403.0,2672.0,7.0,1.0,,23.0,111.0,3.0,8.0,,2.0,1.0,19.0,1.0,1.0,,,,1.0,1.0,3.0,3.0,3.0,15.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,
BARTOW,3.0,53.0,,39.0,666.0,18.0,6.0,64.0,130.0,,,21.0,4.0,,40.0,81.0,,2.0,9.0,56.0,46.0,735.0,198.0,53.0,339.0,4726.0,3.0,,,1.0,,2.0,6.0,,,1.0,,8.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
BEN HILL,,59.0,,2.0,168.0,51.0,1.0,7.0,67.0,3.0,6.0,24.0,,,3.0,18.0,,3.0,,9.0,2.0,309.0,34.0,4.0,11.0,487.0,,,1.0,,,,1.0,,2.0,2.0,,1.0,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
BERRIEN,1.0,19.0,,4.0,194.0,11.0,1.0,4.0,95.0,,,13.0,1.0,,4.0,43.0,,,,6.0,3.0,119.0,20.0,12.0,40.0,899.0,,2.0,,,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIBB,2.0,711.0,2.0,46.0,883.0,576.0,15.0,196.0,222.0,1.0,,416.0,,3.0,29.0,121.0,,19.0,11.0,70.0,70.0,2820.0,53.0,75.0,353.0,3095.0,6.0,,6.0,,,4.0,5.0,,,17.0,,3.0,7.0,7.0,2.0,1.0,10.0,,,,,,,,,,,,2.0,1.0,7.0,,,,,,,,,,,,,,,,
BLECKLEY,,24.0,,,119.0,15.0,,5.0,36.0,,1.0,12.0,1.0,,3.0,11.0,1.0,,2.0,18.0,3.0,84.0,3.0,1.0,10.0,283.0,,,1.0,1.0,12.0,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,,,1.0,1.0,,,,,,,,,,,,,,
BRANTLEY,,1.0,,5.0,199.0,3.0,2.0,10.0,109.0,,,,,,1.0,8.0,,,,2.0,,39.0,8.0,5.0,43.0,844.0,1.0,,2.0,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
BROOKS,,62.0,,4.0,134.0,49.0,2.0,9.0,52.0,,,48.0,1.0,1.0,13.0,31.0,,4.0,2.0,16.0,3.0,181.0,16.0,14.0,32.0,402.0,2.0,,8.0,,,,2.0,,,1.0,,2.0,,,,,1.0,,,1.0,,,,1.0,,,,,7.0,,,1.0,,1.0,,,,,,,,,,,,,
BRYAN,3.0,40.0,,14.0,207.0,47.0,9.0,31.0,120.0,,2.0,18.0,2.0,,17.0,42.0,1.0,1.0,5.0,54.0,27.0,330.0,55.0,31.0,135.0,1890.0,1.0,1.0,,,,1.0,2.0,,,2.0,,4.0,,,,1.0,2.0,,1.0,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,
BULLOCH,1.0,122.0,3.0,22.0,431.0,47.0,1.0,12.0,31.0,,,21.0,,2.0,12.0,28.0,,7.0,5.0,33.0,43.0,1101.0,44.0,48.0,145.0,2775.0,,,,1.0,,,2.0,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
